commune_id,year,population
98801,2014,843
98802,2014,3005
98803,2014,5444
98804,2014,3687
98805,2014,31812
98806,2014,612
98807,2014,2483
98808,2014,4240
98809,2014,1958
98810,2014,2033
98811,2014,7340
98812,2014,4252
98813,2014,3542
98814,2014,9275
98815,2014,5648
98816,2014,709
98817,2014,27155
98818,2014,99926
98819,2014,2360
98820,2014,3374
98821,2014,20616
98822,2014,4868
98823,2014,2370
98824,2014,2452
98825,2014,2591
98826,2014,1463
98827,2014,3036
98828,2014,584
98829,2014,2643
98830,2014,2087
98831,2014,3160
98832,2014,1747
98833,2014,1452
98801,2009,895
98802,2009,2418
98803,2009,4999
98804,2009,3341
98805,2009,24103
98806,2009,598
98807,2009,2399
98808,2009,3945
98809,2009,1969
98810,2009,1931
98811,2009,5199
98812,2009,3690
98813,2009,3323
98814,2009,8627
98815,2009,5417
98816,2009,704
98817,2009,25683
98818,2009,97579
98819,2009,2132
98820,2009,3392
98821,2009,16358
98822,2009,4818
98823,2009,2384
98824,2009,2416
98825,2009,2078
98826,2009,1388
98827,2009,2648
98828,2009,636
98829,2009,2629
98830,2009,2247
98831,2009,2408
98832,2009,1881
98833,2009,1345
98711,2022,970
98712,2022,10322
98713,2022,1736
98714,2022,10758
98715,2022,29826
98716,2022,1679
98717,2022,323
98718,2022,600
98719,2022,1570
98720,2022,1227
98721,2022,199
98722,2022,10196
98723,2022,2371
98724,2022,6263
98725,2022,14623
98726,2022,1391
98727,2022,1138
98728,2022,1302
98729,2022,18201
98730,2022,307
98731,2022,3025
98732,2022,287
98733,2022,12756
98734,2022,11743
98735,2022,26654
98736,2022,14068
98737,2022,137
98738,2022,28781
98739,2022,900
98740,2022,3761
98741,2022,451
98742,2022,513
98743,2022,893
98744,2022,2163
98745,2022,5296
98746,2022,595
98747,2022,13602
98748,2022,8371
98749,2022,1050
98750,2022,5007
98751,2022,180
98752,2022,10837
98753,2022,2185
98754,2022,3718
98755,2022,261
98756,2022,719
98757,2022,2168
98758,2022,3663
98711,2017,811
98712,2017,10243
98713,2017,1664
98714,2017,10549
98715,2017,29506
98716,2017,1637
98717,2017,296
98718,2017,612
98719,2017,1535
98720,2017,1258
98721,2017,275
98722,2017,10033
98723,2017,2243
98724,2017,6075
98725,2017,14763
98726,2017,1508
98727,2017,1141
98728,2017,1286
98729,2017,17816
98730,2017,284
98731,2017,2951
98732,2017,295
98733,2017,13021
98734,2017,11680
98735,2017,26926
98736,2017,14209
98737,2017,163
98738,2017,28103
98739,2017,903
98740,2017,3657
98741,2017,507
98742,2017,587
98743,2017,872
98744,2017,2466
98745,2017,5234
98746,2017,653
98747,2017,12701
98748,2017,8078
98749,2017,1175
98750,2017,4792
98751,2017,259
98752,2017,10254
98753,2017,2217
98754,2017,3721
98755,2017,336
98756,2017,674
98757,2017,2213
98758,2017,3736
98711,2012,897
98712,2012,9537
98713,2012,1500
98714,2012,9610
98715,2012,29687
98716,2012,1579
98717,2012,300
98718,2012,611
98719,2012,1421
98720,2012,1328
98721,2012,240
98722,2012,9585
98723,2012,2190
98724,2012,6313
98725,2012,14351
98726,2012,1558
98727,2012,1240
98728,2012,1234
98729,2012,17236
98730,2012,359
98731,2012,2966
98732,2012,352
98733,2012,12541
98734,2012,11143
98735,2012,25769
98736,2012,14129
98737,2012,166
98738,2012,27613
98739,2012,947
98740,2012,3281
98741,2012,515
98742,2012,606
98743,2012,879
98744,2012,2325
98745,2012,5220
98746,2012,703
98747,2012,12253
98748,2012,7639
98749,2012,1243
98750,2012,4786
98751,2012,294
98752,2012,9398
98753,2012,2173
98754,2012,3762
98755,2012,300
98756,2012,621
98757,2012,2173
98758,2012,3697
98711,2007,827
98712,2007,9458
98713,2007,1759
98714,2007,8927
98715,2007,29851
98716,2007,1578
98717,2007,252
98718,2007,587
98719,2007,1337
98720,2007,1342
98721,2007,268
98722,2007,8683
98723,2007,1986
98724,2007,5999
98725,2007,14369
98726,2007,1422
98727,2007,1379
98728,2007,1231
98729,2007,16490
98730,2007,315
98731,2007,2660
98732,2007,319
98733,2007,12084
98734,2007,10615
98735,2007,26017
98736,2007,14475
98737,2007,157
98738,2007,25441
98739,2007,905
98740,2007,3210
98741,2007,482
98742,2007,567
98743,2007,785
98744,2007,2088
98745,2007,5003
98746,2007,671
98747,2007,11549
98748,2007,7002
98749,2007,1577
98750,2007,4614
98751,2007,227
98752,2007,8589
98753,2007,2050
98754,2007,3632
98755,2007,311
98756,2007,571
98757,2007,2157
98758,2007,3778
98611,2023,1875
98612,2023,1188
98613,2023,8088
98611,2018,1950
98612,2018,1275
98613,2018,8333
98611,2013,2156
98612,2013,1457
98613,2013,8584
98611,2008,2666
98612,2008,1591
98613,2008,9227
97501,1968,621
97501,1975,608
97501,1982,626
97501,1990,697
97501,1999,698
97501,2007,605
97501,2012,626
97501,2017,591
97501,2023,596
97502,1968,4565
97502,1975,5232
97502,1982,5415
97502,1990,5580
97502,1999,5618
97502,2007,5494
97502,2012,5443
97502,2017,5406
97502,2023,5194
97701,1968,2351
97701,1975,2491
97701,1982,3059
97701,1990,5038
97701,1999,6852
97701,2007,8450
97701,2012,9131
97701,2017,9961
97701,2023,10660
97801,1968,5061
97801,1975,6191
97801,1982,8072
97801,1990,28518
97801,1999,29078
97801,2007,35925
97801,2012,35742
97801,2017,35334
97801,2023,31160
97601,2026,5865
97602,2026,16275
97603,2026,11856
97604,2026,7611
97605,2026,16542
97606,2026,10245
97607,2026,20387
97608,2026,20336
97609,2026,6086
97610,2026,36971
97611,2026,94603
97612,2026,11613
97613,2026,11966
97614,2026,14534
97615,2026,11446
97616,2026,12623
97617,2026,14194
97601,2017,5192
97602,2017,13989
97603,2017,10282
97604,2017,6189
97605,2017,8295
97606,2017,8920
97607,2017,15848
97608,2017,17831
97609,2017,5507
97610,2017,32156
97611,2017,71437
97612,2017,7705
97613,2017,6432
97614,2017,10203
97615,2017,11442
97616,2017,11156
97617,2017,13934
97601,2012,4714
97602,2012,10132
97603,2012,7885
97604,2012,6402
97605,2012,7048
97606,2012,8047
97607,2012,10923
97608,2012,14311
97609,2012,4920
97610,2012,26488
97611,2012,57281
97612,2012,7805
97613,2012,6314
97614,2012,9834
97615,2012,9892
97616,2012,10195
97617,2012,10454
97601,2007,4622
97602,2007,9013
97603,2007,6838
97604,2007,5296
97605,2007,6412
97606,2007,6605
97607,2007,10141
97608,2007,15339
97609,2007,4527
97610,2007,19831
97611,2007,53022
97612,2007,6917
97613,2007,5028
97614,2007,6577
97615,2007,9077
97616,2007,8007
97617,2007,9200
